wav_filename,wav_filesize,transcript
Z032Ml_060_17.wav,55030,rodyk rezultatus
Z032Ml_060_18.wav,61980,rodyk skyriaus turinį
Z032Ml_060_19.wav,42286,rodyk turinį
Z035Ml_060_13.wav,62744,rodyk veiklų sąrašą
Z035Ml_060_16.wav,62264,rodyk teisingą atsakymą
Z035Ml_060_17.wav,54800,rodyk rezultatus
Z035Ml_060_18.wav,61720,rodyk skyriaus turinį
Z035Ml_060_19.wav,41482,rodyk turinį
Z036Mj_028_02.wav,3068844, rodyk failų tvarkytuvę   rodyk išklotines  rodyk išsamią informaciją   rodyk komandas   rodyk leistuvę   rodyk mažas piktogramas  rodyk padidintas piktogramas   rodyk paštą   rodyk pašto programą   rodyk pateikčių rengyklę 
Z036Mj_028_03.wav,2854174,  rodyk rašyklę    rodyk savybės   rodyk sąrašą   rodyk skaičiuoklę   rodyk tolesnį laišką   rodyk tolesnį neskaitytą laišką  rodyk turinį   rodyk vidutines piktogramas  rodyk visame ekrane   septinta funkcija   
Z036Mj_032_04.wav,2192148,  pramogos   rodyk visame ekrane   slink aukštyn   slink dešinėn   slink į kairę   slink kairėn   slink žemyn   spausdink tinklalapį   stabdyk   stabdyk atsiuntimą 
Z036Mj_060_13.wav,94246,rodyk veiklų sąrašą
Z036Mj_060_16.wav,98574,rodyk teisingą atsakymą
Z036Mj_060_17.wav,72014,rodyk rezultatus
Z036Mj_060_18.wav,89726,rodyk skyriaus turinį
Z036Mj_060_19.wav,66404,rodyk turinį
Z036Mj_066_03.wav,2352684,  protistai   pulsuojančioji vakuolė    ribosomos   rodyk   rodyk rezultatus   rodyk skyriaus turinį   rodyk teisingą atsakymą   rodyk turinį   rodyk veiklų sąrašą   sandara 
Z037Mi_028_02.wav,2498604,  rodyk failų tvarkytuvę   rodyk išklotines   rodyk išsamią informaciją  rodyk komandas  rodyk leistuvę   rodyk mažas piktogramas  rodyk padidintas piktogramas   rodyk paštą   rodyk pašto programą   rodyk pateikčių rengyklę  
Z037Mi_028_03.wav,2245852,  rodyk rašyklę   rodyk savybes  rodyk sąrašą  rodyk skaičiuoklę   rodyk tolesnį laišką   rodyk tolesnį neskaitytą laišką  rodyk turinį   rodyk vidutines piktogramas   rodyk visame ekrane   septinta funkcija  
Z037Mi_032_04.wav,2224846, pramogos   rodyk visame ekrane   slink aukštyn   slink dešinėn   slink į kairę   slink kairėn   slink žemyn   spausdink tinklalapį   stabdyk   stabdyk atsiuntimą     
Z037Mi_060_13.wav,84322,rodyk veiklų sąrašą
Z037Mi_060_16.wav,95700,rodyk teisingą atsakymą
Z037Mi_060_17.wav,61446,rodyk rezultatus
Z037Mi_060_18.wav,61446,rodyk skyriaus turinį
Z037Mi_060_19.wav,57996,rodyk turinį
Z037Mi_066_03.wav,2107564, protistai   pulsuojančioji vakuolė   ribosomos  rodyk   rodyk rezultatus   rodyk skyriaus turinį   rodyk teisingą atsakymą   rodyk turinį   rodyk veiklų sąrašą   sandara    
Z041Mj_060_13.wav,76488,rodyk veiklų sąrašą
Z041Mj_060_16.wav,77834,rodyk teisingą atsakymą
Z041Mj_060_17.wav,61012,rodyk rezultatus
Z041Mj_060_18.wav,69822,rodyk skyriaus turinį
Z041Mj_060_19.wav,49546,rodyk turinį
Z042Mi_060_13.wav,62336,rodyk veiklų sąrašą
Z042Mi_060_16.wav,67404,rodyk teisingą atsakymą
Z042Mi_060_17.wav,48766,rodyk rezultatus
Z042Mi_060_18.wav,62250,rodyk skyriaus turinį
Z042Mi_060_19.wav,43688,rodyk turinį
Z043Mj_023_168.wav,83226,rodyk visame ekrane
Z043Mj_060_13.wav,80478,rodyk veiklų sąrašą
Z043Mj_060_16.wav,89590,rodyk teisingą atsakymą
Z043Mj_060_17.wav,64410,rodyk rezultatus
Z043Mj_060_18.wav,79238,rodyk skyriaus turinį
Z043Mj_060_19.wav,53566,rodyk turinį
Z044Vm_060_13.wav,85188,rodyk veiklų sąrašą
Z044Vm_060_16.wav,88082,rodyk teisingą atsakymą
Z044Vm_060_17.wav,67750,rodyk rezultatus
Z044Vm_060_18.wav,84832,rodyk skyriaus turinį
Z044Vm_060_19.wav,55112,rodyk turinį
Z045Vl_060_13.wav,82340,rodyk veiklų sąrašą
Z045Vl_060_16.wav,93836,rodyk teisingą atsakymą
Z045Vl_060_17.wav,69316,rodyk rezultatus
Z045Vl_060_18.wav,77438,rodyk skyriaus turinį
Z045Vl_060_19.wav,52150,rodyk turinį
Z046Mk_060_13.wav,72008,rodyk veiklų sąrašą
Z046Mk_060_16.wav,78418,rodyk teisingą atsakymą
Z046Mk_060_17.wav,59640,rodyk rezultatus
Z046Mk_060_18.wav,66498,rodyk skyriaus turinį
Z046Mk_060_19.wav,50194,rodyk turinį
Z047Mj_060_13.wav,64598,rodyk veiklų sąrašą
Z047Mj_060_16.wav,71806,rodyk teisingą atsakymą
Z047Mj_060_17.wav,56584,rodyk rezultatus
Z047Mj_060_18.wav,59070,rodyk skyriaus turinį
Z047Mj_060_19.wav,41258,rodyk turinį
Z048Vl_060_13.wav,88014,rodyk veiklų sąrašą
Z048Vl_060_16.wav,98996,rodyk teisingą atsakymą
Z048Vl_060_17.wav,67348,rodyk rezultatus
Z048Vl_060_18.wav,73532,rodyk skyriaus turinį
Z048Vl_060_19.wav,50950,rodyk turinį
Z049Mj_060_13.wav,81376,rodyk veiklų sąrašą
Z049Mj_060_16.wav,87790,rodyk teisingą atsakymą
Z049Mj_060_17.wav,71112,rodyk rezultatus
Z049Mj_060_18.wav,72826,rodyk skyriaus turinį
Z049Mj_060_19.wav,51510,rodyk turinį
Z050Vj_060_13.wav,57744,rodyk veiklų sąrašą
Z050Vj_060_16.wav,56488,rodyk teisingą atsakymą
Z050Vj_060_17.wav,44912,rodyk rezultatus
Z050Vj_060_18.wav,52002,rodyk skyriaus turinį
Z050Vj_060_19.wav,37374,rodyk turinį
Z051Ml_028_02.wav,2159460,  rodyk failų tvarkytuvę    rodyk išklotines    rodyk išsamią informaciją    rodyk komandas    rodyk leistuvę    rodyk mažas piktogramas    rodyk padidintas piktogramas    rodyk paštą   rodyk pašto programą   rodyk pateikčių rengyklę  
Z051Ml_028_03.wav,2212784,  rodyk rašyklę    rodyk savybės    rodyk sąrašą    rodyk skaičiuoklę    rodyk tolesnį laišką    rodyk tolesnį neskaitytą laišką    rodyk turinį    rodyk vidutines piktogramas    rodyk visame ekrane    septinta funkcija  
Z051Ml_032_04.wav,1923244,  pramogos    rodyk visame ekrane    slink aukštyn    slink dešinėn    slink į kairę    slink kairėn    slink žemyn    spausdink tinklalapį    stabdyk    stabdyk atsiuntimą  
Z051Ml_060_13.wav,67542,rodyk veiklų sąrašą
Z051Ml_060_16.wav,81424,rodyk teisingą atsakymą
Z051Ml_060_17.wav,60342,rodyk rezultatus
Z051Ml_060_18.wav,66916,rodyk skyriaus turinį
Z051Ml_060_19.wav,48676,rodyk turinį
Z051Ml_066_03.wav,1954604,  protistai    pulsuojančioji vakuolė    ribosomos    rodyk    rodyk rezultatus    rodyk skyriaus turinį    rodyk teisingą atsakymą    rodyk turinį    rodyk veiklų sąrašą    sandara  
Z052Ml_028_02.wav,2457020, rodyk failų tvarkytuvę  rodyk išklotines  rodyk išsamią informaciją  rodyk komandas  rodyk leistuvę  rodyk mažas piktogramas   rodyk padidintas piktogramas  rodyk paštą   rodyk pašto programą   rodyk pateikčių rengyklę 
Z052Ml_028_03.wav,2356524,  rodyk rašyklę  rodyk savybes  rodyk sąrašą  rodyk skaičiuoklę  rodyk tolesnį laišką  rodyk tolesnį neskaitytą laišką  rodyk turinį  rodyk vidutines piktogramas  rodyk visame ekrane  septinta funkcija  
Z052Ml_032_04.wav,2405164,   pramogos  rodyk visame ekrane  slink aukštyn  slink dešinėn  slink į kairę  slink kairėn  slink žemyn  spausdink tinklalapį  stabdyk  stabdyk atsiuntimą  
Z052Ml_060_13.wav,78906,rodyk veiklų sąrašą
Z052Ml_060_16.wav,83596,rodyk teisingą atsakymą
Z052Ml_060_17.wav,65168,rodyk rezultatus
Z052Ml_060_18.wav,72578,rodyk skyriaus turinį
Z052Ml_060_19.wav,52926,rodyk turinį
Z053Mn_060_13.wav,64836,rodyk veiklų sąrašą
Z053Mn_060_16.wav,68980,rodyk teisingą atsakymą
Z053Mn_060_17.wav,54906,rodyk rezultatus
Z053Mn_060_18.wav,61478,rodyk skyriaus turinį
Z053Mn_060_19.wav,42834,rodyk turinį
Z054Vm_028_02.wav,2588204,   rodyk failų tvarkytuvę   rodyk išklotines    rodyk išsamią informaciją    rodyk komandas   rodyk leistuvę    rodyk mažas piktogramas   rodyk padidintas piktogramas  rodyk paštą    rodyk pašto programą   rodyk pateikčių rengyklę  
Z054Vm_028_03.wav,2944014,   rodyk rašyklę   rodyk savybės  rodyk sąrašą  rodyk skaičiuoklę     rodyk tolesnį laišką   rodyk tolesnį neskaitytą laišką  rodyk turinį     rodyk vidutines piktogramas   rodyk visame ekrane     septinta funkcija   
Z054Vm_032_04.wav,2045544,   pramogos   rodyk visame ekrane   slink aukštyn   slink dešinėn    slink į kairę   slink kairėn   slink žemyn  spausdink tinklalapį   stabdyk   stabdyk atsiuntimą  
Z054Vm_060_13.wav,89128,rodyk veiklų sąrašą
Z054Vm_060_16.wav,102046,rodyk teisingą atsakymą
